date,FRT,MSN,MWG,PNJ,REE,TCB,VNINDEX
2020-01-02,11.982,46.122,37.731,59.972,25.945,23.8,966.67
2020-01-03,12.478,46.527,37.183,59.561,25.629,23.65,965.14
2020-01-06,12.092,45.798,36.99,58.874,25.594,23.05,955.79
2020-01-07,12.037,45.96,37.28,59.629,25.735,23.2,958.88
2020-01-08,11.708,45.313,36.377,58.394,25.068,22.75,948.98
2020-01-09,11.323,46.122,36.925,59.149,25.068,23.05,960.15
2020-01-10,10.829,45.717,37.119,60.727,25.068,23.15,968.54
2020-01-13,10.911,46.122,36.925,61.07,25.103,22.95,965.84
2020-01-14,10.608,45.798,36.732,61.002,25.138,22.9,967.0
2020-01-15,9.893,45.717,36.764,61.756,24.963,22.9,967.56
2020-01-16,9.921,45.475,37.215,61.688,25.559,23.3,974.31
2020-01-17,10.113,44.505,37.441,62.237,25.629,23.4,978.96
2020-01-20,10.113,43.937,38.247,63.129,25.805,23.35,978.63
2020-01-21,10.059,44.1,38.699,62.443,26.191,24.05,986.37
2020-01-22,10.059,43.209,38.441,62.648,25.98,24.2,991.46
2020-01-30,9.426,40.539,36.764,60.178,25.138,22.9,959.58
2020-01-31,9.426,40.539,35.732,57.845,23.804,21.6,936.62
2020-02-03,9.234,40.458,35.087,56.816,23.523,21.45,928.14
2020-02-04,9.069,40.458,34.797,57.639,23.452,21.75,929.09
2020-02-05,9.619,40.458,34.829,56.747,23.383,21.75,925.91
2020-02-06,10.251,40.376,35.313,57.571,23.874,22.35,938.54
2020-02-07,10.388,40.376,35.055,56.679,23.804,22.15,940.75
2020-02-10,10.113,40.376,34.12,55.924,23.558,21.85,930.73
2020-02-11,10.004,40.376,34.345,55.924,24.049,22.15,934.67
2020-02-12,9.948,40.863,35.152,56.61,24.4,22.65,937.68
2020-02-13,10.553,40.619,34.829,56.61,24.436,22.6,938.24
2020-02-14,10.636,40.297,34.539,56.747,24.681,23.3,937.45
2020-02-17,10.526,40.215,34.668,56.541,24.576,23.8,934.77
2020-02-18,10.416,40.215,35.119,57.433,24.646,23.7,927.93
2020-02-19,10.388,40.782,35.635,58.669,24.681,23.65,928.76
2020-02-20,10.992,41.348,35.668,58.531,25.032,23.5,938.13
2020-02-21,11.762,42.886,35.668,57.502,24.576,23.1,933.09
2020-02-24,12.257,41.348,34.249,55.718,23.628,21.5,903.34
2020-02-25,11.928,40.944,34.507,56.953,24.049,22.2,909.67
2020-02-26,12.202,40.256,34.249,56.953,23.944,22.35,895.97
2020-02-27,12.422,40.215,34.958,57.296,24.295,22.75,898.44
2020-02-28,11.57,39.648,34.345,56.061,23.944,22.25,882.19
2020-03-02,10.773,39.648,34.345,55.992,23.907,22.5,884.43
2020-03-03,10.883,39.648,34.313,56.267,23.871,22.5,890.61
2020-03-04,10.718,39.648,34.184,56.404,23.871,22.55,889.37
2020-03-05,10.883,41.186,34.023,56.061,23.724,22.3,893.31
2020-03-06,11.597,44.018,33.249,55.375,23.575,22.05,891.44
2020-03-09,10.801,42.077,30.927,51.532,22.029,20.55,835.49
2020-03-10,10.443,42.4,30.282,50.572,22.324,20.7,837.5
2020-03-11,9.729,40.418,28.186,47.072,21.992,19.3,811.35
2020-03-12,9.069,40.418,26.219,43.778,20.63,17.95,769.25
2020-03-13,8.575,40.336,25.477,42.269,20.776,18.25,761.78
2020-03-16,8.245,40.053,24.509,39.318,20.666,17.45,747.86
2020-03-17,8.135,40.053,24.929,39.112,22.029,17.95,745.78
2020-03-18,8.465,39.973,25.412,39.387,22.324,17.95,747.66
2020-03-19,7.997,39.81,24.38,37.328,21.955,17.25,725.94
2020-03-20,7.805,39.81,24.896,37.74,21.955,17.35,709.73
2020-03-23,7.283,39.81,23.155,35.133,20.444,16.15,666.59
2020-03-24,6.981,39.73,22.187,35.27,20.776,16.1,659.21
2020-03-25,7.035,39.73,23.542,37.671,21.512,16.6,690.25
2020-03-26,6.568,39.648,21.929,36.917,20.887,16.1,694.21
2020-03-27,6.128,39.893,20.414,35.613,20.63,16.0,696.06
2020-03-30,5.771,39.73,19.188,33.143,20.186,14.9,662.26
2020-03-31,6.128,39.648,18.995,32.182,20.113,15.0,662.53
2020-04-01,6.541,39.81,19.736,34.074,20.85,15.5,680.23
2020-04-03,6.981,42.319,21.091,36.388,21.255,15.85,701.8
2020-04-06,7.448,45.231,22.542,38.912,22.25,16.95,736.75
2020-04-07,7.942,46.527,24.058,39.964,22.102,16.95,746.69
2020-04-08,8.245,47.661,23.864,39.403,21.955,16.7,748.02
2020-04-09,8.712,48.064,23.542,40.665,21.992,16.9,760.33
2020-04-10,8.245,48.713,23.123,40.384,22.36,16.75,757.94
2020-04-13,8.245,47.011,24.187,40.384,22.397,17.2,765.79
2020-04-14,7.942,49.358,24.122,40.314,22.434,17.15,767.41
2020-04-15,8.492,49.279,24.767,41.506,22.839,17.55,777.22
2020-04-16,9.069,49.197,24.8,41.366,22.691,17.55,780.7
2020-04-17,9.702,49.035,26.444,41.857,22.839,17.75,789.6
2020-04-20,10.361,48.064,27.186,42.207,22.729,17.7,794.97
2020-04-21,10.388,45.798,25.606,40.595,21.586,16.85,766.84
2020-04-22,11.103,47.094,26.444,41.226,21.697,16.9,768.92
2020-04-23,11.873,47.094,26.928,41.646,21.735,16.95,773.91
2020-04-24,12.697,48.146,26.767,41.716,22.544,17.1,776.66
2020-04-27,12.478,47.336,26.509,40.665,22.47,17.05,770.77
2020-04-28,11.625,48.307,26.09,40.104,22.36,17.1,767.21
2020-04-29,11.68,47.578,26.348,39.893,22.102,17.2,769.11
2020-05-04,10.883,46.365,25.606,39.613,21.808,17.4,762.47
2020-05-05,10.883,45.637,25.574,39.262,22.102,17.4,764.16
2020-05-06,10.992,46.931,26.186,39.613,22.397,17.55,782.59
2020-05-07,11.46,47.578,26.638,40.314,22.544,17.7,796.54
2020-05-08,11.268,49.358,27.025,40.805,22.544,18.9,813.73
2020-05-11,11.186,51.058,27.412,41.857,22.618,20.2,828.33
2020-05-12,11.186,50.168,26.864,44.731,23.06,20.6,835.32
2020-05-13,11.955,50.087,27.057,45.502,23.575,20.6,834.21
2020-05-14,12.367,51.706,26.767,44.591,23.539,20.5,832.4
2020-05-15,11.873,50.249,26.477,43.469,23.134,20.25,827.03
2020-05-18,11.955,50.572,27.573,44.521,23.097,20.65,837.01
2020-05-19,12.037,50.976,28.121,45.082,23.17,21.3,845.92
2020-05-20,12.862,51.624,27.895,44.871,23.134,21.05,852.91
2020-05-21,13.741,51.624,28.057,44.871,23.429,22.0,862.73
2020-05-22,13.741,50.168,27.412,44.311,22.986,21.05,852.74
2020-05-25,14.703,50.006,27.766,44.871,22.986,21.05,859.04
2020-05-26,15.005,50.572,27.895,45.012,23.944,21.15,869.13
2020-05-27,13.961,50.572,27.347,44.17,23.244,20.9,857.48
2020-05-28,13.686,50.816,27.315,43.96,23.17,20.9,861.39
2020-05-29,14.401,50.735,27.283,44.24,23.024,20.7,864.47
2020-06-01,14.566,51.058,27.734,44.801,23.355,21.3,878.67
2020-06-02,14.044,51.706,27.508,44.311,23.318,21.15,874.8
2020-06-03,14.401,51.787,27.541,44.451,23.355,21.35,881.17
2020-06-04,14.127,51.382,27.573,44.661,23.575,21.2,883.9
2020-06-05,15.088,50.976,27.766,44.661,23.575,21.45,886.22
2020-06-08,15.39,51.302,29.056,46.344,23.686,21.7,899.92
2020-06-09,15.06,50.976,28.605,45.923,23.539,21.55,899.43
2020-06-10,15.253,50.896,28.831,45.573,23.539,21.85,900.0
2020-06-11,14.209,47.336,26.831,42.418,22.47,20.9,867.37
2020-06-12,14.127,47.336,27.734,41.716,22.691,21.15,863.52
2020-06-15,13.164,45.637,26.606,40.104,22.286,20.1,832.47
2020-06-16,13.411,46.608,27.218,41.226,22.618,20.6,856.13
2020-06-17,13.274,46.527,27.025,40.875,22.581,20.3,854.44
2020-06-18,13.082,46.122,27.025,40.805,22.765,20.2,855.27
2020-06-19,13.741,46.122,27.25,41.436,23.134,20.5,868.56
2020-06-22,14.016,47.174,27.702,41.436,23.024,20.75,869.05
2020-06-23,13.824,47.255,27.508,41.927,23.097,20.65,868.2
2020-06-24,13.246,46.284,27.412,42.347,23.097,20.5,859.71
2020-06-25,13.191,45.879,26.96,41.787,22.913,20.2,854.59
2020-06-26,13.027,45.637,27.154,41.787,22.986,20.35,851.98
2020-06-29,12.257,44.585,26.283,40.314,22.618,19.65,829.36
2020-06-30,12.092,43.775,26.057,40.244,22.581,19.55,825.11
2020-07-01,12.917,44.908,26.444,41.085,22.729,19.8,843.49
2020-07-02,13.0,46.284,26.38,41.156,22.802,19.75,842.38
2020-07-03,12.889,46.284,26.348,41.085,23.391,19.8,847.61
2020-07-06,13.329,46.608,26.928,41.716,23.539,20.25,861.16
2020-07-07,13.191,46.122,26.993,41.646,23.465,20.25,863.42
2020-07-08,13.302,46.122,26.96,41.506,23.575,20.1,864.5
2020-07-09,13.466,46.445,27.089,42.488,23.649,20.95,876.46
2020-07-10,13.302,46.041,26.735,41.997,23.575,20.45,871.21
2020-07-13,13.357,45.798,26.702,41.576,24.238,20.3,868.72
2020-07-14,13.357,45.313,26.735,41.576,24.238,20.1,868.11
2020-07-15,13.961,45.071,27.283,42.207,24.35,20.6,869.91
2020-07-16,14.181,46.122,27.347,42.418,24.386,21.0,876.83
2020-07-17,14.127,45.475,27.089,42.347,24.055,20.6,872.02
2020-07-20,13.439,44.505,26.864,41.646,23.871,20.5,861.4
2020-07-21,13.631,44.262,26.993,41.646,24.055,20.5,861.69
2020-07-22,13.686,43.856,26.831,41.085,23.833,20.25,855.08
2020-07-23,13.577,43.614,26.767,41.366,24.754,20.3,856.75
2020-07-24,12.641,42.077,25.541,39.262,23.944,19.5,829.16
2020-07-27,11.762,40.053,23.768,36.528,23.355,18.15,785.17
2020-07-28,12.339,40.863,24.509,37.86,23.797,18.75,813.36
2020-07-29,11.488,39.932,23.542,36.107,23.575,18.15,790.84
2020-07-30,11.68,40.297,23.961,36.107,23.907,18.6,801.13
2020-07-31,11.213,40.863,24.026,36.178,23.907,18.15,798.39
2020-08-03,11.542,42.563,24.509,37.019,24.828,18.6,814.65
2020-08-04,11.817,43.695,24.832,37.51,24.828,18.85,827.57
2020-08-05,12.01,44.505,25.541,38.491,25.124,19.45,837.8
2020-08-06,11.817,43.614,25.574,38.982,25.159,19.2,840.04
2020-08-07,11.873,43.775,25.348,38.702,25.491,19.15,841.46
2020-08-10,12.532,44.1,25.477,38.772,25.455,19.4,843.2
2020-08-11,12.478,44.18,25.638,38.631,25.418,19.45,843.08
2020-08-12,12.367,43.856,25.735,38.281,25.455,19.65,846.92
2020-08-13,12.505,44.018,26.509,39.262,26.007,19.8,855.05
2020-08-14,12.586,43.209,26.799,39.613,26.007,19.8,850.74
2020-08-17,12.45,42.886,26.509,39.192,25.787,20.1,850.15
2020-08-18,12.614,42.4,26.251,38.772,25.971,20.05,846.43
2020-08-19,12.697,42.642,26.38,38.982,26.007,20.2,851.21
2020-08-20,12.641,42.077,26.348,38.982,26.007,20.0,848.21
2020-08-21,12.724,42.563,26.444,39.473,26.228,20.35,854.78
2020-08-24,13.549,43.371,27.121,41.085,26.486,20.95,868.68
2020-08-25,13.466,43.371,28.25,41.857,27.149,21.3,874.12
2020-08-26,13.411,43.29,28.153,41.366,26.854,21.1,873.47
2020-08-27,13.554,43.371,28.669,41.226,27.076,21.15,874.71
2020-08-28,13.812,44.1,29.927,42.628,27.149,21.6,878.98
2020-08-31,13.641,44.505,30.121,42.067,27.186,21.3,881.65
2020-09-01,13.727,44.18,30.25,42.768,27.26,21.7,891.73
2020-09-03,13.641,44.827,30.572,43.049,27.627,22.0,903.97
2020-09-04,13.411,45.556,30.346,42.488,27.481,21.85,901.54
2020-09-07,13.183,44.18,29.121,41.296,26.965,21.2,888.25
2020-09-08,13.383,44.341,30.024,41.927,27.038,21.5,890.14
2020-09-09,13.469,44.505,30.121,41.716,27.37,21.2,889.32
2020-09-10,14.013,44.341,30.282,41.927,28.732,21.45,888.82
2020-09-11,13.812,44.505,30.121,41.716,28.512,21.3,888.97
2020-09-14,14.385,44.989,29.992,42.067,28.954,21.5,894.57
2020-09-15,14.214,44.827,29.959,41.997,28.696,21.35,896.26
2020-09-16,14.385,44.422,30.508,42.558,28.732,21.4,897.47
2020-09-17,14.272,43.695,30.379,41.927,29.396,21.3,894.04
2020-09-18,14.272,43.856,30.475,42.347,29.691,21.8,900.95
2020-09-21,14.5,44.1,31.733,42.768,29.764,22.3,907.94
2020-09-22,14.5,43.937,32.12,42.698,29.764,22.35,906.19
2020-09-23,14.5,44.827,32.862,44.451,29.506,22.3,912.5
2020-09-24,14.128,44.505,32.636,43.68,29.764,22.45,908.58
2020-09-25,13.984,44.262,32.41,43.469,29.764,22.4,908.27
2020-09-28,13.956,44.262,33.217,43.469,29.691,22.85,912.5
2020-09-29,13.641,43.371,33.378,42.628,29.433,22.55,905.28
2020-09-30,13.755,44.18,33.636,42.698,29.617,22.6,905.21
2020-10-01,13.87,44.422,33.862,43.259,30.796,22.8,914.09
2020-10-02,13.812,43.775,33.539,42.768,29.58,22.55,909.91
2020-10-05,13.784,45.313,33.539,42.908,30.906,22.55,914.68
2020-10-06,14.013,46.931,33.926,42.838,30.723,22.4,915.67
2020-10-07,14.357,50.087,34.7,42.838,30.465,21.8,919.72
2020-10-08,14.099,51.706,35.313,44.03,30.539,21.35,918.84
2020-10-09,14.013,55.104,35.152,44.311,30.943,21.35,924.0
2020-10-12,13.526,56.802,34.668,43.469,30.723,21.2,925.83
2020-10-13,13.698,60.526,34.249,43.82,30.685,21.4,929.86
2020-10-14,13.584,64.733,35.152,44.1,30.28,22.85,940.18
2020-10-15,13.354,65.623,35.281,45.573,30.796,22.85,942.76
2020-10-16,13.526,64.733,34.958,47.746,30.649,22.65,943.3
2020-10-19,13.411,66.351,34.924,47.325,30.649,23.0,943.69
2020-10-20,13.239,67.727,34.924,46.975,30.649,23.9,944.42
2020-10-21,13.211,67.727,34.597,46.975,30.796,23.75,939.03
2020-10-22,13.239,68.779,35.48,47.816,30.833,23.95,949.9
2020-10-23,13.411,69.587,35.97,47.676,30.943,24.0,961.26
2020-10-26,13.125,71.125,35.97,48.377,30.87,23.35,950.8
2020-10-27,12.667,71.125,35.97,48.657,30.87,23.3,946.47
2020-10-28,12.094,69.587,34.335,46.274,30.759,22.4,921.05
2020-10-29,12.15,67.969,33.452,46.835,30.649,21.8,919.08
