date,close,open,high,low
22/01/2024,1.397,1.397,1.397,1.397
19/01/2024,1.447,1.447,1.447,1.447
18/01/2024,1.446,1.446,1.446,1.446
17/01/2024,1.443,1.443,1.443,1.443
16/01/2024,1.489,1.491,1.491,1.489
15/01/2024,1.491,1.727,1.727,1.491
12/01/2024,1.727,1.732,1.732,1.727
11/01/2024,1.732,1.763,1.763,1.732
10/01/2024,1.742,1.763,1.763,1.742
09/01/2024,1.763,1.783,1.783,1.763
08/01/2024,1.773,1.783,1.783,1.773
05/01/2024,1.782,1.773,1.782,1.773
04/01/2024,1.773,1.774,1.774,1.773
03/01/2024,1.774,1.785,1.785,1.774
02/01/2024,1.785,1.795,1.795,1.785
01/01/2024,1.748,1.748,1.748,1.748
29/12/2023,1.798,1.798,1.798,1.798
28/12/2023,1.798,1.797,1.798,1.797
27/12/2023,1.797,1.798,1.798,1.797
26/12/2023,1.797,1.797,1.797,1.797
25/12/2023,1.796,1.802,1.802,1.796
22/12/2023,1.802,1.802,1.802,1.802
21/12/2023,1.802,1.802,1.802,1.802
20/12/2023,1.802,1.811,1.811,1.802
19/12/2023,1.811,1.823,1.823,1.811
18/12/2023,1.819,1.823,1.823,1.819
15/12/2023,1.823,1.823,1.823,1.823
14/12/2023,1.827,1.827,1.827,1.798
13/12/2023,1.861,1.856,1.861,1.856
12/12/2023,1.856,1.862,1.862,1.856
11/12/2023,1.862,1.862,1.862,1.862
08/12/2023,1.859,1.859,1.859,1.859
07/12/2023,1.871,1.871,1.871,1.871
06/12/2023,1.874,1.874,1.874,1.874
05/12/2023,1.871,1.871,1.871,1.871
04/12/2023,1.87,1.87,1.87,1.87
01/12/2023,1.882,1.882,1.882,1.882
30/11/2023,1.877,1.877,1.877,1.877
29/11/2023,1.89,1.89,1.89,1.89
28/11/2023,1.89,1.89,1.89,1.89
27/11/2023,1.899,1.899,1.899,1.899
24/11/2023,1.908,1.908,1.908,1.908
23/11/2023,1.926,1.926,1.926,1.926
22/11/2023,1.926,1.926,1.926,1.926
21/11/2023,1.931,1.931,1.931,1.931
20/11/2023,1.949,1.949,1.949,1.949
17/11/2023,1.963,1.963,1.963,1.963
16/11/2023,1.963,1.963,1.963,1.963
15/11/2023,1.973,1.973,1.973,1.973
14/11/2023,1.973,1.973,1.973,1.973
13/11/2023,1.973,1.973,1.973,1.973
10/11/2023,1.991,1.991,1.991,1.991
09/11/2023,1.991,1.991,1.991,1.991
08/11/2023,1.991,1.991,1.991,1.991
07/11/2023,2,2,2,2
06/11/2023,2.023,2.023,2.023,2.023
03/11/2023,2.023,2.023,2.023,2.023
02/11/2023,2.023,2.023,2.023,2.023
01/11/2023,2.005,2.005,2.005,2.005
31/10/2023,2.005,2.005,2.005,2.005
30/10/2023,2.005,2.005,2.005,2.005
