date,close,open,high,low
16/01/2024,95100.00,95400.00,102000.00,94400.00
15/01/2024,95400.00,95000.00,95900.00,94900.00
12/01/2024,94700.00,94800.00,95600.00,94100.00
11/01/2024,95000.00,94700.00,95400.00,94700.00
10/01/2024,94700.00,96700.00,96900.00,94500.00
09/01/2024,96600.00,97300.00,97300.00,96600.00
08/01/2024,97300.00,97400.00,98300.00,97100.00
05/01/2024,97400.00,97300.00,97500.00,96500.00
04/01/2024,97200.00,96300.00,98400.00,96200.00
03/01/2024,96300.00,95600.00,96500.00,95400.00
02/01/2024,95900.00,96900.00,96900.00,95700.00
29/12/2023,96100.00,96600.00,97000.00,96100.00
28/12/2023,96600.00,97000.00,97000.00,96300.00
27/12/2023,96900.00,97400.00,97800.00,96900.00
26/12/2023,97200.00,96500.00,98600.00,96400.00
25/12/2023,96000.00,94900.00,96200.00,94800.00
22/12/2023,94600.00,95000.00,95100.00,94400.00
21/12/2023,95100.00,94600.00,95100.00,94000.00
20/12/2023,94700.00,94300.00,95000.00,94100.00
19/12/2023,94600.00,93900.00,94600.00,93600.00
18/12/2023,94000.00,95900.00,96200.00,93700.00
15/12/2023,96200.00,96200.00,96300.00,95000.00
14/12/2023,96200.00,95800.00,96400.00,95200.00
13/12/2023,95200.00,97400.00,97400.00,95200.00
12/12/2023,96800.00,95400.00,96800.00,95300.00
11/12/2023,95000.00,95500.00,95700.00,94600.00
08/12/2023,94200.00,94300.00,95100.00,93500.00
07/12/2023,94300.00,95100.00,95300.00,92800.00
06/12/2023,95000.00,95000.00,95400.00,94100.00
05/12/2023,94800.00,93800.00,95800.00,93700.00
04/12/2023,93600.00,92600.00,94000.00,92600.00
01/12/2023,92400.00,92200.00,92900.00,91300.00
30/11/2023,91900.00,91400.00,93700.00,91300.00
29/11/2023,91700.00,91600.00,92000.00,91100.00
28/11/2023,91100.00,90800.00,91900.00,89900.00
27/11/2023,90700.00,91400.00,91400.00,90100.00
24/11/2023,91200.00,90800.00,92000.00,90200.00
23/11/2023,90800.00,93300.00,93700.00,90800.00
22/11/2023,93000.00,91900.00,93100.00,91900.00
21/11/2023,91900.00,92000.00,92000.00,90700.00
20/11/2023,90700.00,90100.00,92600.00,89100.00
17/11/2023,91000.00,93400.00,93500.00,90600.00
16/11/2023,93000.00,92200.00,93000.00,91600.00
15/11/2023,92400.00,93700.00,93800.00,92000.00
14/11/2023,92600.00,92000.00,93400.00,91300.00
13/11/2023,91400.00,91600.00,92000.00,90500.00
10/11/2023,91500.00,91500.00,92700.00,91300.00
09/11/2023,92500.00,92000.00,93300.00,91800.00
08/11/2023,92600.00,88200.00,92600.00,88000.00
07/11/2023,88300.00,88500.00,88800.00,87900.00
06/11/2023,88500.00,88200.00,88900.00,87800.00
03/11/2023,87000.00,89000.00,89200.00,87000.00
02/11/2023,89000.00,86400.00,89000.00,85900.00
01/11/2023,85400.00,84300.00,85400.00,82600.00
31/10/2023,83000.00,85100.00,85300.00,83000.00
30/10/2023,85000.00,87000.00,87100.00,85000.00
27/10/2023,87000.00,87500.00,88000.00,86300.00
26/10/2023,86800.00,88300.00,89900.00,86000.00
25/10/2023,90900.00,91800.00,92700.00,90900.00
24/10/2023,92000.00,92400.00,92400.00,90800.00
23/10/2023,91000.00,93800.00,93800.00,90800.00
20/10/2023,92900.00,92500.00,93000.00,90100.00
19/10/2023,92000.00,94000.00,94300.00,92000.00
18/10/2023,93000.00,94900.00,94900.00,91000.00
17/10/2023,93100.00,97800.00,97800.00,93100.00
16/10/2023,96800.00,96800.00,98900.00,96300.00
13/10/2023,96100.00,96000.00,96300.00,95300.00
12/10/2023,96400.00,97000.00,97800.00,96000.00
11/10/2023,97000.00,95900.00,98000.00,95900.00
10/10/2023,96300.00,96500.00,97200.00,95400.00
09/10/2023,95600.00,92400.00,95600.00,92200.00
06/10/2023,92700.00,91500.00,92800.00,91000.00
05/10/2023,91600.00,92800.00,93300.00,91600.00
04/10/2023,92500.00,91300.00,93400.00,91300.00
03/10/2023,92200.00,92200.00,93500.00,91500.00
02/10/2023,93200.00,93400.00,93800.00,92000.00
29/09/2023,92800.00,94000.00,94900.00,92800.00
28/09/2023,94000.00,94100.00,94300.00,91400.00
27/09/2023,94300.00,93900.00,94300.00,90400.00
26/09/2023,93500.00,94200.00,95500.00,93100.00
25/09/2023,94300.00,97000.00,97600.00,94300.00
22/09/2023,96700.00,95100.00,97000.00,92600.00
21/09/2023,96800.00,98500.00,98900.00,96300.00
20/09/2023,98500.00,98800.00,99700.00,98500.00
19/09/2023,98400.00,96800.00,98400.00,95900.00
18/09/2023,96900.00,96900.00,96900.00,95700.00
15/09/2023,97500.00,96000.00,97800.00,95300.00
14/09/2023,95900.00,98000.00,98000.00,95500.00
13/09/2023,98000.00,98900.00,99000.00,97400.00
12/09/2023,98900.00,97400.00,98900.00,97400.00
11/09/2023,97400.00,98700.00,99500.00,95300.00
08/09/2023,97600.00,97500.00,98500.00,97000.00
07/09/2023,97900.00,99000.00,100800.00,97600.00
06/09/2023,99000.00,97100.00,99000.00,96300.00
05/09/2023,96800.00,97100.00,98700.00,96800.00
31/08/2023,96700.00,96600.00,97500.00,96100.00
30/08/2023,96600.00,93200.00,98200.00,93100.00
29/08/2023,93600.00,94000.00,94000.00,92800.00
28/08/2023,94000.00,92000.00,94300.00,91000.00
25/08/2023,90600.00,89500.00,91000.00,89100.00
24/08/2023,90000.00,85500.00,90100.00,85100.00
23/08/2023,86500.00,86400.00,86800.00,84700.00
22/08/2023,86500.00,86300.00,86500.00,83000.00
21/08/2023,85900.00,85900.00,86700.00,85500.00
18/08/2023,85500.00,85600.00,87900.00,84300.00
17/08/2023,86000.00,85000.00,87200.00,85000.00
16/08/2023,85100.00,83200.00,85200.00,83200.00
15/08/2023,84000.00,82600.00,84300.00,81500.00
14/08/2023,82600.00,82100.00,83200.00,82000.00
11/08/2023,82000.00,82000.00,83000.00,81500.00
10/08/2023,82200.00,83100.00,83300.00,82200.00
09/08/2023,83100.00,84000.00,84700.00,83000.00
08/08/2023,84200.00,84000.00,84600.00,83800.00
07/08/2023,84500.00,83600.00,84500.00,83300.00
04/08/2023,83300.00,84000.00,84500.00,83300.00
03/08/2023,83700.00,83800.00,84200.00,82900.00
02/08/2023,83500.00,84500.00,84800.00,83500.00
01/08/2023,84500.00,85600.00,86300.00,84500.00
31/07/2023,85600.00,84700.00,85800.00,84400.00
28/07/2023,84400.00,83500.00,84400.00,83100.00
27/07/2023,83700.00,82800.00,84400.00,82800.00
26/07/2023,82700.00,81200.00,82700.00,81100.00
25/07/2023,81300.00,81000.00,82200.00,81000.00
24/07/2023,81000.00,81000.00,81300.00,80600.00
21/07/2023,81000.00,79700.00,81000.00,79600.00
