date,close,open,high,low
16/01/2024,43900.00,42900.00,44100.00,42500.00
15/01/2024,42900.00,42550.00,43300.00,42250.00
12/01/2024,41900.00,41850.00,42600.00,41800.00
11/01/2024,42450.00,42250.00,43150.00,42200.00
10/01/2024,42250.00,42700.00,42900.00,41900.00
09/01/2024,42700.00,43150.00,43200.00,42400.00
08/01/2024,43200.00,44300.00,44300.00,43200.00
05/01/2024,43850.00,43200.00,44100.00,43000.00
04/01/2024,43200.00,43200.00,43800.00,43000.00
03/01/2024,43200.00,42400.00,43450.00,42000.00
02/01/2024,42450.00,43100.00,43300.00,42150.00
29/12/2023,42800.00,43200.00,43300.00,42650.00
28/12/2023,43050.00,42850.00,43250.00,42800.00
27/12/2023,42850.00,42700.00,43050.00,42550.00
26/12/2023,42700.00,42550.00,43150.00,42350.00
25/12/2023,42650.00,42350.00,43700.00,42350.00
22/12/2023,42350.00,42450.00,42650.00,42000.00
21/12/2023,42650.00,42200.00,42700.00,41850.00
20/12/2023,42400.00,40650.00,42400.00,40500.00
19/12/2023,40650.00,39500.00,40900.00,39200.00
18/12/2023,39600.00,40950.00,40950.00,39500.00
15/12/2023,40750.00,41600.00,41600.00,40500.00
14/12/2023,41600.00,42100.00,42300.00,41400.00
13/12/2023,41700.00,42800.00,43600.00,41550.00
12/12/2023,42500.00,42500.00,42600.00,42100.00
11/12/2023,42500.00,42600.00,42650.00,41900.00
08/12/2023,42600.00,40800.00,43000.00,40400.00
07/12/2023,40850.00,41050.00,41100.00,39500.00
06/12/2023,40950.00,40000.00,41050.00,39950.00
05/12/2023,40000.00,39950.00,40100.00,39700.00
04/12/2023,39950.00,38900.00,40450.00,38800.00
01/12/2023,38750.00,38750.00,39000.00,38050.00
30/11/2023,38500.00,38850.00,39100.00,38500.00
29/11/2023,38800.00,38150.00,39450.00,38150.00
28/11/2023,38000.00,38050.00,38150.00,37350.00
27/11/2023,38000.00,38500.00,38550.00,38000.00
24/11/2023,38550.00,37900.00,38550.00,37150.00
23/11/2023,37300.00,40000.00,40300.00,37300.00
22/11/2023,39800.00,40800.00,40850.00,39300.00
21/11/2023,40900.00,41500.00,41500.00,40600.00
20/11/2023,40550.00,40150.00,41650.00,40150.00
17/11/2023,41400.00,41500.00,42500.00,40650.00
16/11/2023,41500.00,41500.00,41600.00,40700.00
15/11/2023,41900.00,42400.00,42500.00,41350.00
14/11/2023,41500.00,41000.00,42100.00,40800.00
13/11/2023,40000.00,39550.00,40300.00,39050.00
10/11/2023,39400.00,39750.00,40300.00,39000.00
09/11/2023,40300.00,40500.00,41350.00,39900.00
08/11/2023,39600.00,37900.00,39600.00,36700.00
07/11/2023,38200.00,37900.00,39450.00,37500.00
06/11/2023,38050.00,39000.00,39000.00,37600.00
03/11/2023,38950.00,37500.00,39200.00,37000.00
02/11/2023,37000.00,35900.00,37400.00,33600.00
01/11/2023,35100.00,37000.00,37700.00,35100.00
31/10/2023,37700.00,40400.00,40700.00,37700.00
30/10/2023,40500.00,41100.00,41750.00,40500.00
27/10/2023,42000.00,42300.00,42500.00,41400.00
26/10/2023,42000.00,42200.00,42400.00,40500.00
25/10/2023,43500.00,43000.00,44200.00,43000.00
24/10/2023,43000.00,43100.00,43600.00,41750.00
23/10/2023,43000.00,44700.00,44850.00,42600.00
20/10/2023,44700.00,43000.00,45000.00,43000.00
19/10/2023,43000.00,44200.00,44700.00,43000.00
18/10/2023,44700.00,46800.00,47000.00,43650.00
17/10/2023,46300.00,48900.00,48900.00,46300.00
16/10/2023,48600.00,49500.00,50700.00,48600.00
13/10/2023,49500.00,48500.00,49500.00,48450.00
12/10/2023,48400.00,49300.00,49500.00,48200.00
11/10/2023,49300.00,49000.00,49300.00,48600.00
10/10/2023,48850.00,48400.00,49450.00,48400.00
09/10/2023,47950.00,48350.00,48900.00,47650.00
06/10/2023,48300.00,46900.00,48500.00,46300.00
05/10/2023,47000.00,49900.00,49900.00,47000.00
04/10/2023,49200.00,48000.00,50000.00,48000.00
03/10/2023,49000.00,51500.00,51500.00,48300.00
02/10/2023,51900.00,52600.00,53000.00,51800.00
29/09/2023,52600.00,53800.00,53800.00,52600.00
28/09/2023,53000.00,52900.00,54700.00,52500.00
27/09/2023,52000.00,51100.00,52000.00,50200.00
26/09/2023,51500.00,51100.00,51700.00,50500.00
25/09/2023,51000.00,51600.00,53000.00,49900.00
22/09/2023,52100.00,53100.00,53400.00,51300.00
21/09/2023,54200.00,55800.00,55800.00,54200.00
20/09/2023,55800.00,55100.00,56200.00,54600.00
19/09/2023,55500.00,55100.00,55500.00,53000.00
18/09/2023,55000.00,55600.00,55600.00,54100.00
15/09/2023,55900.00,57500.00,57500.00,55400.00
14/09/2023,57300.00,57700.00,58500.00,57100.00
13/09/2023,57500.00,56100.00,59300.00,55500.00
12/09/2023,55800.00,54500.00,55800.00,54000.00
11/09/2023,54500.00,55800.00,56200.00,53800.00
08/09/2023,55500.00,54500.00,56500.00,54500.00
07/09/2023,55000.00,55200.00,55800.00,54300.00
06/09/2023,55000.00,54300.00,55600.00,53800.00
05/09/2023,54300.00,53800.00,55500.00,53400.00
31/08/2023,53800.00,54000.00,54400.00,53500.00
30/08/2023,53800.00,53000.00,54500.00,52900.00
29/08/2023,52900.00,51800.00,53200.00,51500.00
28/08/2023,51700.00,50900.00,51900.00,50400.00
25/08/2023,50500.00,50300.00,51400.00,50000.00
24/08/2023,50300.00,49700.00,50800.00,49700.00
23/08/2023,49700.00,50700.00,50700.00,49200.00
22/08/2023,50000.00,49100.00,50200.00,47350.00
21/08/2023,49000.00,50000.00,50500.00,48750.00
18/08/2023,50200.00,53900.00,53900.00,50200.00
17/08/2023,53900.00,54100.00,55200.00,53400.00
16/08/2023,53800.00,54000.00,54300.00,53000.00
15/08/2023,54000.00,54600.00,55900.00,54000.00
14/08/2023,54200.00,53900.00,54300.00,52600.00
11/08/2023,53300.00,52200.00,53300.00,51000.00
10/08/2023,52000.00,53000.00,53000.00,51700.00
09/08/2023,52600.00,53400.00,53400.00,52000.00
08/08/2023,53600.00,54000.00,54300.00,53400.00
07/08/2023,53800.00,53700.00,54900.00,53300.00
04/08/2023,53000.00,53000.00,53200.00,52300.00
03/08/2023,52700.00,51800.00,53700.00,51400.00
02/08/2023,51700.00,51700.00,52500.00,51600.00
01/08/2023,51700.00,54100.00,54100.00,51700.00
31/07/2023,53700.00,54000.00,54200.00,52600.00
28/07/2023,54500.00,53900.00,54900.00,53200.00
27/07/2023,54100.00,52400.00,54500.00,52200.00
26/07/2023,52100.00,53090.00,53685.00,51506.00
25/07/2023,53090.00,53982.00,53982.00,52397.00
24/07/2023,53982.00,52496.00,53982.00,51506.00
21/07/2023,52500.00,49100.00,52500.00,48950.00
20/07/2023,49100.00,48400.00,49500.00,48400.00
19/07/2023,48500.00,48400.00,48950.00,47950.00
18/07/2023,48050.00,48400.00,48600.00,47750.00
17/07/2023,48650.00,49500.00,49850.00,48650.00
14/07/2023,49450.00,49350.00,49450.00,48500.00
13/07/2023,49350.00,49200.00,49900.00,49150.00
12/07/2023,49150.00,48350.00,49300.00,48200.00
11/07/2023,48800.00,47600.00,48800.00,47350.00
10/07/2023,47750.00,46050.00,47750.00,45800.00
07/07/2023,45500.00,43050.00,45500.00,43050.00
06/07/2023,43200.00,43400.00,43750.00,42850.00
05/07/2023,43350.00,43450.00,44450.00,43350.00
04/07/2023,43250.00,42900.00,43650.00,42650.00
03/07/2023,43000.00,43450.00,43650.00,42800.00
30/06/2023,43300.00,42700.00,43900.00,42500.00
29/06/2023,42700.00,43500.00,43900.00,42700.00
28/06/2023,43900.00,44200.00,44450.00,43200.00
27/06/2023,44200.00,44350.00,44900.00,43750.00
26/06/2023,44350.00,43550.00,44500.00,42600.00
23/06/2023,42900.00,43050.00,43200.00,42700.00
22/06/2023,43050.00,42850.00,43650.00,42350.00
21/06/2023,42700.00,42500.00,42700.00,42200.00
20/06/2023,42500.00,41600.00,42500.00,41600.00
19/06/2023,41500.00,41350.00,41700.00,41100.00
16/06/2023,41350.00,41950.00,42300.00,41150.00
15/06/2023,41700.00,42050.00,42400.00,41450.00
14/06/2023,42050.00,43000.00,43000.00,42050.00
13/06/2023,43000.00,43400.00,43400.00,42600.00
12/06/2023,43000.00,41650.00,43000.00,41500.00
09/06/2023,41400.00,41000.00,41400.00,40500.00
08/06/2023,40650.00,42000.00,42000.00,40600.00
07/06/2023,41800.00,41800.00,41950.00,41050.00
06/06/2023,41800.00,41200.00,42050.00,41050.00
05/06/2023,41200.00,41000.00,41600.00,40800.00
02/06/2023,40800.00,39450.00,40850.00,39200.00
01/06/2023,39300.00,39350.00,39500.00,38700.00
31/05/2023,39200.00,39300.00,39450.00,38950.00
30/05/2023,39400.00,38850.00,39800.00,38850.00
29/05/2023,38700.00,38450.00,38700.00,38150.00
26/05/2023,38200.00,38050.00,38400.00,38000.00
25/05/2023,38000.00,37950.00,38400.00,37800.00
24/05/2023,37950.00,38400.00,38450.00,37900.00
23/05/2023,38250.00,38650.00,38800.00,38200.00
22/05/2023,38550.00,38350.00,38650.00,38050.00
19/05/2023,38300.00,38100.00,38300.00,37800.00
18/05/2023,38100.00,38550.00,38700.00,38100.00
17/05/2023,38150.00,38450.00,38650.00,37950.00
16/05/2023,38450.00,38900.00,38950.00,38200.00
15/05/2023,38900.00,39150.00,39400.00,38850.00
12/05/2023,39000.00,38750.00,39100.00,38200.00
11/05/2023,38700.00,39150.00,39350.00,38550.00
10/05/2023,39000.00,38050.00,39000.00,37900.00
09/05/2023,37950.00,37850.00,38350.00,37850.00
08/05/2023,37850.00,37800.00,38250.00,37800.00
05/05/2023,37800.00,37900.00,38100.00,37650.00
04/05/2023,37900.00,38100.00,38900.00,37900.00
28/04/2023,39200.00,38650.00,39200.00,38600.00
27/04/2023,38650.00,38500.00,38650.00,38150.00
26/04/2023,38400.00,37700.00,38400.00,37650.00
25/04/2023,37700.00,38600.00,38800.00,37500.00
24/04/2023,38400.00,39200.00,39300.00,38250.00
21/04/2023,39300.00,40400.00,40400.00,39300.00
20/04/2023,40400.00,40500.00,40500.00,39900.00
19/04/2023,40500.00,40050.00,41300.00,40000.00
18/04/2023,39950.00,40550.00,40750.00,39950.00
17/04/2023,39850.00,39850.00,40000.00,39550.00
14/04/2023,40000.00,41250.00,41400.00,40000.00
13/04/2023,41050.00,41000.00,41300.00,40650.00
